SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
198,2.048,4,10,DSDV,7.5
199,2.048,4,10,DSDV,7.5
200,2.048,4,10,DSDV,7.5
201,2.048,4,10,DSDV,7.5
202,2.048,4,10,DSDV,7.5
203,2.048,4,10,DSDV,7.5
204,2.048,4,10,DSDV,7.5
205,0,0,10,DSDV,7.5
206,0,0,10,DSDV,7.5
207,0,0,10,DSDV,7.5
208,0,0,10,DSDV,7.5
209,0,0,10,DSDV,7.5
210,0,0,10,DSDV,7.5
211,6.656,13,10,DSDV,7.5
212,8.704,17,10,DSDV,7.5
213,7.68,15,10,DSDV,7.5
214,5.632,11,10,DSDV,7.5
215,4.096,8,10,DSDV,7.5
216,4.608,9,10,DSDV,7.5
217,4.608,9,10,DSDV,7.5
218,6.144,12,10,DSDV,7.5
219,6.144,12,10,DSDV,7.5
220,6.144,12,10,DSDV,7.5
221,6.144,12,10,DSDV,7.5
222,6.144,12,10,DSDV,7.5
223,6.144,12,10,DSDV,7.5
224,6.144,12,10,DSDV,7.5
225,6.144,12,10,DSDV,7.5
226,9.216,18,10,DSDV,7.5
227,12.8,25,10,DSDV,7.5
228,10.752,21,10,DSDV,7.5
229,9.728,19,10,DSDV,7.5
230,6.656,13,10,DSDV,7.5
231,3.072,6,10,DSDV,7.5
232,2.048,4,10,DSDV,7.5
233,2.048,4,10,DSDV,7.5
234,2.048,4,10,DSDV,7.5
235,2.048,4,10,DSDV,7.5
236,2.048,4,10,DSDV,7.5
237,2.048,4,10,DSDV,7.5
238,2.048,4,10,DSDV,7.5
239,2.048,4,10,DSDV,7.5
240,2.048,4,10,DSDV,7.5
241,2.048,4,10,DSDV,7.5
242,5.12,10,10,DSDV,7.5
243,4.096,8,10,DSDV,7.5
244,4.096,8,10,DSDV,7.5
245,2.048,4,10,DSDV,7.5
246,2.048,4,10,DSDV,7.5
247,2.048,4,10,DSDV,7.5
248,2.048,4,10,DSDV,7.5
249,2.048,4,10,DSDV,7.5
250,2.048,4,10,DSDV,7.5
251,2.56,5,10,DSDV,7.5
252,2.048,4,10,DSDV,7.5
253,2.048,4,10,DSDV,7.5
254,2.048,4,10,DSDV,7.5
255,2.048,4,10,DSDV,7.5
256,6.144,12,10,DSDV,7.5
257,7.68,15,10,DSDV,7.5
258,4.096,8,10,DSDV,7.5
259,2.048,4,10,DSDV,7.5
260,2.048,4,10,DSDV,7.5
261,5.12,10,10,DSDV,7.5
262,4.096,8,10,DSDV,7.5
263,4.096,8,10,DSDV,7.5
264,4.096,8,10,DSDV,7.5
265,4.096,8,10,DSDV,7.5
266,4.096,8,10,DSDV,7.5
267,4.096,8,10,DSDV,7.5
268,4.096,8,10,DSDV,7.5
269,4.096,8,10,DSDV,7.5
270,4.096,8,10,DSDV,7.5
271,4.096,8,10,DSDV,7.5
272,2.56,5,10,DSDV,7.5
273,4.096,8,10,DSDV,7.5
274,2.56,5,10,DSDV,7.5
275,2.048,4,10,DSDV,7.5
276,3.584,7,10,DSDV,7.5
277,4.096,8,10,DSDV,7.5
278,4.096,8,10,DSDV,7.5
279,4.096,8,10,DSDV,7.5
280,4.096,8,10,DSDV,7.5
281,4.096,8,10,DSDV,7.5
282,4.096,8,10,DSDV,7.5
283,4.096,8,10,DSDV,7.5
284,4.096,8,10,DSDV,7.5
285,2.048,4,10,DSDV,7.5
286,7.168,14,10,DSDV,7.5
287,8.192,16,10,DSDV,7.5
288,7.68,15,10,DSDV,7.5
289,5.12,10,10,DSDV,7.5
290,4.096,8,10,DSDV,7.5
291,4.096,8,10,DSDV,7.5
292,4.096,8,10,DSDV,7.5
293,4.096,8,10,DSDV,7.5
294,4.096,8,10,DSDV,7.5
295,4.096,8,10,DSDV,7.5
296,4.096,8,10,DSDV,7.5
297,4.096,8,10,DSDV,7.5
298,4.096,8,10,DSDV,7.5
299,4.096,8,10,DSDV,7.5
