SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
218,8.192,16,10,AODV,7.5
219,10.24,20,10,AODV,7.5
220,8.704,17,10,AODV,7.5
221,8.192,16,10,AODV,7.5
222,9.216,18,10,AODV,7.5
223,8.192,16,10,AODV,7.5
224,7.68,15,10,AODV,7.5
225,8.192,16,10,AODV,7.5
226,8.192,16,10,AODV,7.5
227,8.192,16,10,AODV,7.5
228,9.728,19,10,AODV,7.5
229,9.728,19,10,AODV,7.5
230,9.216,18,10,AODV,7.5
231,7.68,15,10,AODV,7.5
232,7.68,15,10,AODV,7.5
233,7.68,15,10,AODV,7.5
234,7.168,14,10,AODV,7.5
235,8.192,16,10,AODV,7.5
236,7.168,14,10,AODV,7.5
237,5.632,11,10,AODV,7.5
238,5.632,11,10,AODV,7.5
239,6.144,12,10,AODV,7.5
240,5.632,11,10,AODV,7.5
241,5.12,10,10,AODV,7.5
242,5.12,10,10,AODV,7.5
243,3.584,7,10,AODV,7.5
244,4.096,8,10,AODV,7.5
245,4.096,8,10,AODV,7.5
246,4.096,8,10,AODV,7.5
247,3.584,7,10,AODV,7.5
248,4.096,8,10,AODV,7.5
249,4.096,8,10,AODV,7.5
250,5.632,11,10,AODV,7.5
251,5.12,10,10,AODV,7.5
252,5.12,10,10,AODV,7.5
253,8.192,16,10,AODV,7.5
254,7.68,15,10,AODV,7.5
255,7.68,15,10,AODV,7.5
256,7.168,14,10,AODV,7.5
257,6.144,12,10,AODV,7.5
258,7.168,14,10,AODV,7.5
259,8.192,16,10,AODV,7.5
260,7.168,14,10,AODV,7.5
261,5.632,11,10,AODV,7.5
262,4.096,8,10,AODV,7.5
263,4.096,8,10,AODV,7.5
264,4.096,8,10,AODV,7.5
265,4.096,8,10,AODV,7.5
266,4.096,8,10,AODV,7.5
267,13.312,26,10,AODV,7.5
268,6.144,12,10,AODV,7.5
269,6.144,12,10,AODV,7.5
270,5.632,11,10,AODV,7.5
271,6.656,13,10,AODV,7.5
272,4.096,8,10,AODV,7.5
273,5.632,11,10,AODV,7.5
274,3.584,7,10,AODV,7.5
275,2.048,4,10,AODV,7.5
276,2.048,4,10,AODV,7.5
277,3.584,7,10,AODV,7.5
278,5.632,11,10,AODV,7.5
279,6.144,12,10,AODV,7.5
280,7.168,14,10,AODV,7.5
281,8.192,16,10,AODV,7.5
282,19.456,38,10,AODV,7.5
283,7.68,15,10,AODV,7.5
284,6.656,13,10,AODV,7.5
285,7.68,15,10,AODV,7.5
286,7.168,14,10,AODV,7.5
287,6.656,13,10,AODV,7.5
288,6.656,13,10,AODV,7.5
289,7.168,14,10,AODV,7.5
290,7.68,15,10,AODV,7.5
291,8.192,16,10,AODV,7.5
292,7.68,15,10,AODV,7.5
293,8.192,16,10,AODV,7.5
294,8.192,16,10,AODV,7.5
295,8.192,16,10,AODV,7.5
296,8.192,16,10,AODV,7.5
297,7.68,15,10,AODV,7.5
298,7.68,15,10,AODV,7.5
299,7.68,15,10,AODV,7.5
